Unnamed: 0,Severity,Severity2,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Distance(mi),Lasting_time,Start_Lat,Start_Lng
578979,2,0,36.0,55.0,30.14,10.0,0.0,1792,40.363823,-121.535194
578998,2,0,34.0,73.0,30.14,10.0,0.0,1792,39.960594,-122.122421
579357,2,0,45.0,29.0,30.44,10.0,0.0,1789,40.185684,-122.186043
579389,3,1,55.0,15.0,30.35,10.0,0.479999989271164,2676,40.18124,-122.22673
579678,2,0,28.9,69.0,30.35,10.0,0.0,1766,39.940407,-122.046494
580594,2,0,42.1,28.0,30.1,10.0,0.0,1786,40.030239,-122.293251
581678,2,0,53.1,77.0,30.03,10.0,0.0,1789,40.015202,-122.399193
582253,2,0,53.1,96.0,30.09,2.0,0.0,1773,39.985523,-122.081787
582811,3,1,37.9,97.0,30.16,10.0,6.6599998474121085,1764,40.293026,-122.279198
586885,3,1,44.1,71.0,30.36,10.0,0.0,1759,39.87847100000001,-122.199959
587328,2,0,36.0,97.0,30.29,10.0,0.0,1791,39.884628,-122.177864
587359,2,0,52.0,69.0,30.29,10.0,0.0,1786,40.047504,-122.100533
588017,2,0,39.9,100.0,29.97,5.0,0.0,1790,40.014469,-122.163254
589587,2,0,50.0,74.0,30.21,10.0,0.0,1791,40.077026,-122.233368
590224,2,0,37.9,86.0,30.13,10.0,0.0,1790,40.019199,-122.096321
592018,3,1,54.0,34.0,30.48,10.0,0.0,1792,39.87847100000001,-122.199959
593308,2,0,32.0,75.0,30.37,10.0,0.0,2679,40.17215,-122.284645
594450,3,1,51.1,61.0,30.19,10.0,0.0,1786,40.150589,-122.223007
594497,3,1,48.0,80.0,30.05,10.0,0.0,2659,40.293026,-122.279198
595547,3,1,46.0,73.0,30.13,10.0,0.0,1783,40.177975,-122.223053
598177,3,1,41.0,76.0,30.16,10.0,0.0,1752,40.236038,-122.256081
600254,2,0,57.0,55.0,30.18,10.0,0.0,1791,40.264942,-122.227341
600585,3,1,39.0,76.0,30.19,10.0,0.0,1791,40.003487,-122.206535
600951,2,0,48.0,89.0,30.04,9.0,0.0,1789,39.931828,-122.033089
601498,2,0,57.9,78.0,29.94,10.0,0.0,1790,39.959606,-122.062843
